date,open,close,low,high,volume
2019-09-12,84.1,83.9,83.75,84.25,9281122.0
2019-09-16,84.0,84.4,83.95,84.45,10929792.0
2019-09-17,84.4,84.25,84.2,84.45,4966780.0
2019-09-18,84.4,84.95,84.35,85.0,16999486.0
2019-09-19,84.95,84.45,84.4,85.15,7777364.0
2019-09-20,84.65,84.7,84.65,84.9,8231699.0
2019-09-23,84.65,84.5,84.5,84.85,4369839.0
2019-09-24,84.5,84.65,84.35,84.85,4852012.0
2019-09-25,84.35,84.1,83.9,84.35,3927674.0
2019-09-26,84.45,84.3,84.15,84.7,5194687.0
2019-09-27,84.9,84.6,84.5,85.2,8884695.0
2019-10-01,84.8,85.95,84.8,86.0,9595908.0
2019-10-02,85.6,85.65,85.6,85.9,5653658.0
2019-10-03,84.4,84.8,84.3,85.1,4868237.0
2019-10-04,85.2,85.15,84.75,85.4,3746987.0
2019-10-07,85.4,85.45,85.2,85.65,4140747.0
2019-10-08,85.85,86.5,85.85,86.6,12195435.0
2019-10-09,86.15,85.8,85.8,86.2,6916829.0
2019-10-14,87.0,87.55,87.0,87.55,9491298.0
2019-10-15,87.55,87.7,87.3,87.85,4377610.0
2019-10-16,88.0,88.1,87.85,88.15,3983672.0
2019-10-17,88.05,88.15,87.8,88.15,2540883.0
2019-10-18,88.15,87.95,87.9,88.65,2815798.0
2019-10-21,87.95,87.85,87.75,88.0,1077652.0
2019-10-22,88.2,88.7,88.2,88.8,3256399.0
2019-10-23,88.7,88.45,88.3,88.8,2580656.0
2019-10-24,88.7,88.8,88.5,88.8,2579559.0
2019-10-25,89.2,88.8,88.6,89.2,7971190.0
2019-10-28,89.25,89.2,89.0,89.3,5009774.0
2019-10-29,89.5,89.45,89.35,89.65,7410985.0
2019-10-30,89.45,89.85,89.3,89.85,5384270.0
2019-10-31,89.9,90.1,89.9,90.6,9458164.0
2019-11-01,90.0,90.1,89.75,90.2,2806778.0
2019-11-04,90.55,92.2,90.55,92.25,6730681.0
2019-11-05,92.4,92.9,92.35,92.9,3966279.0
2019-11-06,92.95,93.35,92.75,93.35,4494319.0
2019-11-07,93.2,92.85,92.35,93.2,3050118.0
2019-11-08,93.0,92.55,92.4,93.05,2890536.0
2019-11-11,92.4,91.15,91.05,92.45,5859344.0
2019-11-12,91.55,92.0,91.55,92.0,2426297.0
2019-11-13,91.55,91.45,91.05,91.65,1935545.0
2019-11-14,91.6,91.4,91.2,91.8,2174281.0
2019-11-15,92.0,92.3,92.0,92.5,2510879.0
2019-11-18,92.5,92.9,92.4,92.9,2087613.0
